Client ID,Issued on,Paid on,Concept,Sale type,Membership,Subtotal (Excluding taxes),% Taxes,VAT Charged €,Total €,Method of payment
375,09/01/2023,09/05/2023,Vitamin  09/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
388,09/01/2023,09/05/2023,Light  09/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
424,09/01/2023,09/05/2023,Vitamin  09/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
407,09/01/2023,09/05/2023,Vitamin  09/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
301,09/01/2023,09/05/2023 09:14,Healthy 09/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Pay with RedSys POS
271,09/03/2023,09/05/2023 09:54,MORNING FITNESS XL 9/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Card payment
430,09/06/2023,09/05/2023 11:54,MORNING FITNESS XL 9/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Card payment
92,09/01/2023,09/05/2023 19:05,Full Open  09/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Cash payment
431,09/05/2023,09/05/2023 19:24,Vitamin 9/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
86,09/06/2023,09/06/2023 03:08,Vitamin 9/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
432,09/06/2023,09/06/2023 09:59,MORNING FITNESS XL 9/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Cash payment
346,09/06/2023,09/06/2023 12:21,Light  9/2023,Memberships,Light,57.85,21.00%,12.15,70,Card payment
433,09/07/2023,09/06/2023 13:30,Bonus,Memberships,Bonus,90.91,21.00%,19.09,110,Card payment
256,09/06/2023,09/06/2023 14:28,Vitamin 9/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
344,09/01/2023,09/06/2023 17:39,MORNING FITNESS XL  09/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Pay with RedSys POS
434,09/07/2023,09/07/2023 18:31,Light 9/2023,Memberships,Light,57.85,21.00%,12.15,70,Card payment
390,09/07/2023,09/07/2023 20:06,MORNING FITNESS XL  9/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Card payment
435,09/12/2023,09/12/2023 11:27,Vitamin 9/2023,Memberships,Vitamin,44.49,21.00%,9.34,53.83,Card payment
436,09/13/2023,09/13/2023 12:27,MORNING FITNESS XL 9/2023,Memberships,MORNING FITNESS XL,42.15,21.00%,8.85,51,Card payment
437,09/13/2023,09/13/2023 17:32,Vitamin 9/2023,Memberships,Vitamin,42.15,21.00%,8.85,51,Card payment
439,09/14/2023,09/14/2023 17:21,Bonus,Memberships,Bonus,49.59,21.00%,10.41,60,Card payment
,09/13/2023,09/17/2023 22:10,Vitamin 9/2023 (FCSE,,,,,,,
441,09/18/2023,09/18/2023 11:21,MORNING FITNESS XL 9/2023,Memberships,MORNING FITNESS XL,30.44,21.00%,6.39,36.83,Card payment
442,09/18/2023,09/18/2023 17:12,Oferta Rugby 9/2023,Memberships,Oferta Rugby,29.17,20.00%,5.83,35,Card payment
58,09/01/2023,09/19/2023 14:46,Fitness 09/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Cash payment
117,09/19/2023,09/19/2023 18:55,Vitamin 9/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Cash payment
443,09/21/2023,09/21/2023 17:13,Light 9/2023,Memberships,Light,19.28,21.00%,4.05,23.33,Card payment
446,09/22/2023,09/22/2023 08:13,Light 9/2023,Memberships,Light,17.36,21.00%,3.64,21,Card payment
445,09/22/2023,09/22/2023 08:21,Light 9/2023,Memberships,Light,17.36,21.00%,3.64,21,Card payment
447,09/22/2023,09/22/2023 11:07,Morning Fitness 9/2023,Memberships,Morning Fitness,16.12,21.00%,3.38,19.5,Card payment
448,09/22/2023,09/22/2023 11:59,Morning Fitness 9/2023,Memberships,Morning Fitness,16.12,21.00%,3.38,19.5,Card payment
83,09/22/2023,09/22/2023 17:28,Open Box 9/2023,Memberships,Open Box,21.07,21.00%,4.43,25.5,Card payment
440,09/26/2023,09/26/2023 14:10,Vitamin 9/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Cash payment
451,09/26/2023,09/26/2023 20:16,Bonus,Memberships,Bonus,90.91,21.00%,19.09,110,Card payment
,09/27/2023,09/27/2023 17:35,PAGO OCTUBRE,Other,,98.98,0.00%,0,98.98,Card payment
92,10/01/2023,09/27/2023 17:45,Full Open 10/2023 - 10/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Card payment
230,10/01/2023,09/27/2023,Healthy 10/2023 - 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
433,09/28/2023,09/27/2023 20:33,Bonus 9/2023,Memberships,Bonus,90.91,21.00%,19.09,110,Pay with RedSys POS
449,09/26/2023,09/27/2023 22:40,MORNING FITNESS XL 9/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Card payment
428,09/29/2023,09/29/2023 11:45,OCTUBRE VITAMIN,Other,,85,0.00%,0,85,Card payment
454,10/01/2023,09/30/2023 11:32,MORNING FITNESS XL 10/2023 - 10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Card payment
393,10/01/2023,10/01/2023 08:25,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Pay with RedSys POS
271,10/01/2023,10/01/2023 11:01,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Pay with RedSys POS
192,10/01/2023,10/01/2023 11:08,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Pay with RedSys POS
455,10/01/2023,10/01/2023 11:09,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Card payment
88,10/01/2023,10/01/2023 13:42,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Pay with RedSys POS
373,10/01/2023,10/01/2023 13:58,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Pay with RedSys POS
376,10/01/2023,10/01/2023 17:53,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Pay with RedSys POS
316,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
289,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
213,10/01/2023,10/01/2023,Healthy 10/2023 (Familiares directos (+3)),Memberships,Healthy,70.66,21.00%,14.84,85.5,Direct debit
184,10/01/2023,10/01/2023,Open Box  10/2023,Memberships,Open Box,70.25,21.00%,14.75,85,Direct debit
175,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
105,10/01/2023,10/01/2023,Full Open  10/2023 (PARTNER ),Memberships,Full Open,77.73,21.00%,16.32,94.05,Direct debit
362,10/01/2023,10/01/2023,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
444,10/01/2023,10/01/2023,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
452,10/01/2023,10/01/2023,Vitamin 10/2023 - 10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
347,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
294,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
370,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
304,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
163,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
167,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
128,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
340,10/01/2023,10/01/2023,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
266,10/01/2023,10/01/2023,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
65,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
293,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
352,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
101,10/01/2023,10/01/2023,Healthy 10/2023 (Familiares directos),Memberships,Healthy,70.66,21.00%,14.84,85.5,Direct debit
234,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
315,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
366,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
305,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
399,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
429,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
447,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
401,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
319,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
410,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
342,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
348,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
423,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
115,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
325,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
91,10/01/2023,10/01/2023,Full Open  10/2023 (PARTNER ),Memberships,Full Open,77.73,21.00%,16.32,94.05,Direct debit
408,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
312,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
431,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
339,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
254,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
333,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
403,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
307,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
409,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
149,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
375,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
159,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
246,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
411,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
359,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
400,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
355,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
,10/01/2023,10/01/2023,Vitamin  10/2023 (FCSE,,,,,,,
,10/01/2023,10/01/2023,Vitamin  10/2023 (FCSE,,,,,,,
430,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
195,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
327,10/01/2023,10/01/2023,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
50,10/01/2023,10/01/2023,Full Open  10/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
250,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
249,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
407,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
377,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
426,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
424,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
345,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
193,10/01/2023,10/01/2023,Open Box  10/2023,Memberships,Open Box,70.25,21.00%,14.75,85,Direct debit
275,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
131,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
381,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
351,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
321,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
263,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
256,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
190,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
417,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
126,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
387,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
132,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
356,10/01/2023,10/01/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
113,10/01/2023,10/01/2023,Open Box  10/2023,Memberships,Open Box,65.29,21.00%,13.71,79,Direct debit
330,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
269,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
106,10/01/2023,10/01/2023,Full Open  10/2023 (PARTNER ),Memberships,Full Open,77.73,21.00%,16.32,94.05,Direct debit
253,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
428,10/01/2023,10/01/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
388,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
287,10/01/2023,10/01/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
211,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
448,10/01/2023,10/01/2023,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Direct debit
89,10/01/2023,10/01/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
201,10/01/2023,10/01/2023 21:54,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Card payment
376,10/01/2023,10/01/2023 23:42,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Bank transfer
258,10/01/2023,10/01/2023 23:42,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Bank transfer
353,10/01/2023,10/02/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
439,10/02/2023,10/02/2023 09:17,Bonus,Memberships,Bonus,90.91,21.00%,19.09,110,Card payment
64,10/02/2023,10/02/2023,Vitamin 10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
118,10/02/2023,10/02/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
412,10/02/2023,10/02/2023,MORNING FITNESS XL 10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
147,10/02/2023,10/02/2023,Vitamin 10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
427,10/02/2023,10/02/2023 10:37,Light 10/2023,Memberships,Light,57.85,21.00%,12.15,70,Cash payment
208,10/01/2023,10/02/2023 11:10,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Bank transfer
63,10/01/2023,10/02/2023 11:10,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Bank transfer
205,10/01/2023,10/02/2023 11:10,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Bank transfer
326,10/01/2023,10/02/2023 11:11,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Cash payment
240,10/01/2023,10/02/2023 11:11,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Bank transfer
174,10/01/2023,10/02/2023 11:11,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Bank transfer
181,10/01/2023,10/02/2023 11:11,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Bank transfer
37,10/01/2023,10/02/2023 11:12,Full Open  10/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Bank transfer
77,10/01/2023,10/02/2023 11:13,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Bank transfer
168,10/01/2023,10/02/2023 11:13,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Bank transfer
72,10/01/2023,10/02/2023 11:13,Full Open  10/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Bank transfer
47,10/01/2023,10/02/2023 11:13,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Bank transfer
186,10/01/2023,10/02/2023 11:14,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Bank transfer
9,10/01/2023,10/02/2023 11:14,Fitness 10/2023 (Familiares directos),Memberships,Fitness,85.54,21.00%,17.96,103.5,Bank transfer
207,10/01/2023,10/02/2023 11:14,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Bank transfer
179,10/01/2023,10/02/2023 11:15,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Bank transfer
164,10/01/2023,10/02/2023 11:15,Full Open  10/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Bank transfer
241,10/01/2023,10/02/2023 11:15,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Bank transfer
328,10/01/2023,10/02/2023 11:16,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Bank transfer
,10/01/2023,10/02/2023 11:23,Vitamin  10/2023 (FCSE,,,,,,,
350,08/02/2023,10/02/2023 11:47,MORNING FITNESS XL 8/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Card payment
296,10/01/2023,10/02/2023 11:56,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Pay with RedSys POS
85,10/01/2023,10/02/2023 13:06,Open Box  10/2023 (Familiares directos (+3)),Memberships,Open Box,63.22,21.00%,13.28,76.5,Card payment
456,10/02/2023,10/02/2023 14:41,Bonus,Memberships,Bonus,33.06,21.00%,6.94,40,Card payment
404,08/01/2023,10/02/2023,Healthy 08/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
320,10/01/2023,10/02/2023,Vitamin 10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
312,10/01/2023,10/02/2023,Light 10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
151,10/01/2023,10/02/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
311,09/01/2023,10/02/2023,MORNING FITNESS XL  09/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
183,10/01/2023,10/02/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
391,10/01/2023,10/02/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
301,10/01/2023,10/02/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
441,10/01/2023,10/02/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
335,10/01/2023,10/02/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
148,10/01/2023,10/02/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
157,10/01/2023,10/02/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
279,10/01/2023,10/02/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
169,10/01/2023,10/02/2023,Light 10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
117,10/01/2023,10/02/2023,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
344,10/01/2023,10/02/2023 16:22,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Pay with RedSys POS
415,10/01/2023,10/02/2023 17:25,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Card payment
404,10/01/2023,10/02/2023 17:26,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Card payment
422,10/01/2023,10/02/2023 17:37,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Card payment
320,10/01/2023,10/02/2023,Light 10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
80,10/01/2023,10/02/2023,Vitamin 10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Direct debit
445,10/03/2023,10/03/2023,Light 10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
446,10/03/2023,10/03/2023,Light 10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
238,10/01/2023,10/03/2023,Full Open  10/2023,Memberships,Full Open,81.82,21.00%,17.18,99,Direct debit
311,10/01/2023,10/03/2023,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Direct debit
457,10/03/2023,10/03/2023 11:00,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Card payment
255,10/03/2023,10/03/2023 13:30,Light 10/2023,Memberships,Light,57.85,21.00%,12.15,70,Cash payment
458,10/03/2023,10/03/2023 17:25,Oferta Rugby 10/2023,Memberships,Oferta Rugby,29.17,20.00%,5.83,35,Card payment
438,10/01/2023,10/03/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
421,10/01/2023,10/03/2023 20:59,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Cash payment
449,10/01/2023,10/04/2023 17:54,MORNING FITNESS XL  10/2023,Memberships,MORNING FITNESS XL,70.25,21.00%,14.75,85,Card payment
459,10/04/2023,10/04/2023 21:34,Oferta Rugby 10/2023,Memberships,Oferta Rugby,29.17,20.00%,5.83,35,Card payment
277,10/01/2023,10/04/2023,Fitness 10/2023,Memberships,Fitness,95.04,21.00%,19.96,115,Direct debit
257,10/01/2023,10/04/2023,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Direct debit
416,10/01/2023,10/04/2023,Healthy 10/2023,Memberships,Healthy,78.51,21.00%,16.49,95,Direct debit
442,10/01/2023,10/05/2023 08:56,Oferta Rugby 10/2023,Memberships,Oferta Rugby,29.17,20.00%,5.83,35,Card payment
460,10/05/2023,10/05/2023 10:09,Morning Fitness 10/2023,Memberships,Morning Fitness,53.72,21.00%,11.28,65,Card payment
453,10/01/2023,10/05/2023 10:16,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
460,10/05/2023,10/05/2023 11:01,MORNING FITNESS XL 10/2023,Memberships,MORNING FITNESS XL,53.72,21.00%,11.28,65,Card payment
427,10/01/2023,10/05/2023 19:16,Light  10/2023,Memberships,Light,57.85,21.00%,12.15,70,Cash payment
461,10/06/2023,10/06/2023 11:52,Open Box 10/2023,Memberships,Open Box,58.92,21.00%,12.37,71.29,Card payment
86,10/01/2023,10/06/2023 13:27,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
178,10/01/2023,10/06/2023 13:28,Morning fitness Trimestral 10/2023,Memberships,Morning fitness Trimestral,145.04,21.00%,30.46,175.5,Card payment
408,10/01/2023,10/06/2023 14:39,Light 10/2023,Memberships,Light,57.85,21.00%,12.15,70,Card payment
65,10/01/2023,10/06/2023 18:15,Vitamin 10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
462,10/09/2023,10/09/2023 14:37,Bonus,Memberships,Bonus,90.91,21.00%,19.09,110,Card payment
463,10/09/2023,10/09/2023 18:13,Bonus,Memberships,Bonus,41.32,21.00%,8.68,50,Card payment
435,10/01/2023,10/09/2023 18:26,Vitamin  10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
464,10/10/2023,10/10/2023 14:46,Bonus,Memberships,Bonus,90.91,21.00%,19.09,110,Card payment
465,10/10/2023,10/10/2023 18:30,Vitamin 10/2023,Memberships,Vitamin,70.25,21.00%,14.75,85,Card payment
